Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,43.47999954223633,43.90999984741211,41.810001373291016,41.83000183105469,38.85572052001953,1316100
2022-02-24,40.709999084472656,42.5099983215332,40.20000076293945,42.349998474121094,39.338748931884766,1667400
2022-02-25,42.86000061035156,43.91999816894531,42.65999984741211,43.75,40.63920211791992,1176600
2022-02-28,42.79999923706055,44.119998931884766,42.68000030517578,43.279998779296875,40.20262145996094,1263900
2022-03-01,43.08000183105469,43.540000915527344,41.83000183105469,42.119998931884766,39.12509536743164,1203000
2022-03-02,42.4900016784668,43.29999923706055,42.18000030517578,43.08000183105469,40.016841888427734,993400
2022-03-03,43.560001373291016,43.63999938964844,42.5,43.40999984741211,40.3233757019043,863500
2022-03-04,42.540000915527344,43.970001220703125,42.40999984741211,43.86000061035156,40.74138641357422,2027900
2022-03-07,43.79999923706055,44.20000076293945,42.849998474121094,43.209999084472656,40.137596130371094,1583200
2022-03-08,43.58000183105469,45.150001525878906,43.20000076293945,44.47999954223633,41.31729507446289,1614100
2022-03-09,45.2599983215332,46.66999816894531,45.2599983215332,46.119998931884766,42.84068298339844,2035300
2022-03-10,45.41999816894531,46.349998474121094,45.09000015258789,46.279998779296875,42.98930358886719,1311700
2022-03-11,46.40999984741211,47.2599983215332,46.16999816894531,46.220001220703125,42.93357467651367,1727800
2022-03-14,46.650001525878906,46.93000030517578,45.34000015258789,45.7400016784668,42.48770523071289,1596600
2022-03-15,45.939998626708984,46.34000015258789,44.84000015258789,45.439998626708984,42.20903396606445,1049200
2022-03-16,45.91999816894531,46.130001068115234,44.20000076293945,45.290000915527344,42.0697021484375,1669300
2022-03-17,44.880001068115234,45.59000015258789,44.70000076293945,45.41999816894531,42.19045639038086,1485200
2022-03-18,45.459999084472656,46.2400016784668,44.86000061035156,46.130001068115234,42.8499755859375,2946500
2022-03-21,46.279998779296875,46.54999923706055,45.630001068115234,45.83000183105469,42.57130813598633,1432100
2022-03-22,46.36000061035156,46.83000183105469,45.79999923706055,45.970001220703125,42.701351165771484,1702800
2022-03-23,45.790000915527344,45.900001525878906,45.2599983215332,45.29999923706055,42.07898712158203,1048300
2022-03-24,45.20000076293945,45.5099983215332,44.86000061035156,45.40999984741211,42.18116760253906,2100500
2022-03-25,45.720001220703125,46.86000061035156,45.540000915527344,46.68000030517578,43.360870361328125,1963600
2022-03-28,46.560001373291016,46.560001373291016,45.849998474121094,45.93000030517578,42.6641960144043,1097300
2022-03-29,46.349998474121094,47.029998779296875,46.0,46.97999954223633,43.63953399658203,1599000
2022-03-30,46.75,47.150001525878906,45.9900016784668,46.20000076293945,42.91499328613281,1001200
2022-03-31,46.20000076293945,46.599998474121094,45.31999969482422,45.31999969482422,42.097564697265625,1578100
2022-04-01,45.81999969482422,45.84000015258789,44.540000915527344,45.31999969482422,42.097564697265625,1391800
